1722470400000,3231.70000000,3241.80000000,3213.87000000,3234.50000000,997.12420000,1722473999999,3218974.61563800,4244,287.85470000,930196.07427300,0
1722474000000,3234.00000000,3237.58000000,3190.01000000,3210.60000000,1149.25080000,1722477599999,3689609.63540900,7525,590.02050000,1894219.16427200,0
1722477600000,3210.61000000,3212.81000000,3175.17000000,3197.39000000,1242.60400000,1722481199999,3968908.40290600,6852,708.89920000,2263881.77942900,0
1722481200000,3195.60000000,3195.80000000,3170.42000000,3177.32000000,382.82710000,1722484799999,1218131.36512000,1781,183.06860000,582623.05743600,0
1722484800000,3176.41000000,3187.91000000,3137.57000000,3145.41000000,2339.79150000,1722488399999,7384066.08191700,17880,1000.00930000,3155576.23641100,0
1722488400000,3144.99000000,3183.59000000,3132.89000000,3183.52000000,2731.34030000,1722491999999,8627020.51183300,20034,1450.25760000,4581332.55493900,0
1722492000000,3183.59000000,3183.59000000,3162.38000000,3166.18000000,363.79260000,1722495599999,1154375.72750200,1594,155.83810000,494586.98824300,0
1722495600000,3167.00000000,3179.41000000,3163.22000000,3165.50000000,367.92510000,1722499199999,1166903.02646700,2170,178.09270000,564837.72177800,0
1722499200000,3165.40000000,3182.80000000,3164.11000000,3182.31000000,537.77540000,1722502799999,1707216.42062900,3304,242.50040000,769869.75128200,0
1722502800000,3182.41000000,3192.41000000,3178.10000000,3178.48000000,445.94810000,1722506399999,1420395.48156100,2628,225.78390000,719063.49784700,0
1722506400000,3178.51000000,3190.91000000,3174.81000000,3188.87000000,651.66070000,1722509999999,2074716.01506500,3242,427.75440000,1361854.57654300,0
1722510000000,3188.80000000,3192.20000000,3182.22000000,3186.95000000,1347.87870000,1722513599999,4297000.12616800,4426,905.87550000,2887850.40181100,0
1722513600000,3187.01000000,3205.20000000,3185.30000000,3195.11000000,762.01050000,1722517199999,2435099.87910200,4163,401.84260000,1283887.05010500,0
1722517200000,3195.10000000,3197.61000000,3172.51000000,3182.00000000,1010.91650000,1722520799999,3218856.35305200,5629,559.50000000,1781717.82785500,0
1722520800000,3181.79000000,3186.12000000,3141.80000000,3141.80000000,1026.60110000,1722524399999,3248565.41620400,7167,478.36760000,1513493.79791800,0
1722524400000,3141.81000000,3144.60000000,3100.51000000,3115.00000000,2444.87470000,1722527999999,7629356.38565600,20800,1205.46250000,3760770.57541500,0
1722528000000,3115.99000000,3121.30000000,3089.00000000,3105.50000000,1719.29330000,1722531599999,5338226.13728100,8302,742.94730000,2307200.22555400,0
1722531600000,3105.40000000,3117.82000000,3087.80000000,3116.80000000,1493.14660000,1722535199999,4626943.50615600,9140,797.99180000,2472983.39532600,0
1722535200000,3117.32000000,3118.60000000,3077.79000000,3089.00000000,1330.42440000,1722538799999,4121585.44599700,8861,588.68960000,1822841.47938700,0
1722538800000,3088.97000000,3133.33000000,3087.41000000,3128.90000000,1226.71300000,1722542399999,3824617.34161800,7298,729.96640000,2275508.60010900,0
1722542400000,3128.80000000,3168.91000000,3118.91000000,3168.79000000,1597.57510000,1722545999999,5021275.47578500,9338,733.09010000,2303353.26336600,0
1722546000000,3168.57000000,3182.51000000,3155.74000000,3173.91000000,882.67170000,1722549599999,2796452.58488800,5899,434.71030000,1376930.62691600,0
1722549600000,3173.91000000,3217.00000000,3171.00000000,3206.60000000,1078.41070000,1722553199999,3448143.29529100,7997,571.32960000,1826976.63881200,0
1722553200000,3206.51000000,3212.61000000,3196.32000000,3200.80000000,630.30600000,1722556799999,2020366.26936500,4422,288.79200000,925714.68880300,0
